Embedding Type,Round,Task,Hidden Layer Sizes,Epochs,Batch Size,Learning Rate,pair,Baseline,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,accuracy
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair05,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair07,Baseline,0.0238095238095238,0.0340136054421768,0.0263038548752834,0.0421052631578947,0.0421052631578947,0.0421052631578947,0.0421052631578947
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair07,Baseline,0.1149999999999999,0.1333333333333333,0.1087121212121212,0.1395348837209302,0.1395348837209302,0.1395348837209302,0.1395348837209302
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair07,Baseline,0.1742424242424242,0.2045454545454545,0.1742424242424242,0.2083333333333333,0.2083333333333333,0.2083333333333333,0.2083333333333333
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair07,Baseline,0.1180555555555555,0.125,0.1138888888888888,0.2105263157894736,0.2105263157894736,0.2105263157894736,0.2105263157894736
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair07,Baseline,0.0793650793650793,0.119047619047619,0.0904761904761904,0.1875,0.1875,0.1875,0.1875
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair07,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair08,Baseline,0.1204004329004329,0.1114134542705971,0.1021431723522315,0.2281879194630872,0.2281879194630872,0.2281879194630872,0.2281879194630872
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair08,Baseline,0.1241134751773049,0.1252659574468085,0.114922564770589,0.25,0.25,0.25,0.25
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair08,Baseline,0.0603603603603603,0.1247401247401247,0.0806715806715806,0.2553191489361702,0.2553191489361702,0.2553191489361702,0.2553191489361702
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair08,Baseline,0.0744206773618538,0.0989304812834224,0.0783422459893048,0.2325581395348837,0.2325581395348837,0.2325581395348837,0.2325581395348837
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair08,Baseline,0.0529556650246305,0.1206896551724138,0.0723092998955068,0.1851851851851851,0.1851851851851851,0.1851851851851851,0.1851851851851851
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair08,Baseline,0.0833333333333333,0.0376984126984126,0.0434523809523809,0.1707317073170731,0.1707317073170731,0.1707317073170731,0.1707317073170731
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair09,Baseline,0.0584745762711864,0.0937853107344632,0.0564837234328759,0.1208791208791208,0.1208791208791208,0.1208791208791208,0.1208791208791208
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair09,Baseline,0.0484126984126984,0.1031746031746031,0.0507936507936507,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair09,Baseline,0.0125,0.025,0.0166666666666666,0.024390243902439,0.024390243902439,0.024390243902439,0.024390243902439
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair09,Baseline,0.0375,0.05,0.0416666666666666,0.0606060606060606,0.0606060606060606,0.0606060606060606,0.0606060606060606
