Embedding Type,Round,Task,Hidden Layer Sizes,Epochs,Batch Size,Learning Rate,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,accuracy
Random,Round 1,Reference Resolution,"[300, 150]",200,32,0.0001,0.0145367986436334,0.0175104669047554,0.0145839660600191,0.0349040139616055,0.0349040139616055,0.0349040139616055,0.0349040139616055
Random,Round 2,Reference Resolution,"[300, 150]",200,32,0.0001,0.0095132432483475,0.0122720735550091,0.0102325591952205,0.0240295748613678,0.0240295748613678,0.0240295748613678,0.0240295748613678
Random,Round 3,Reference Resolution,"[300, 150]",200,32,0.0001,0.0084157113333314,0.0136085451486037,0.0098203776693447,0.0372771474878444,0.0372771474878444,0.0372771474878444,0.0372771474878444
Random,Round 4,Reference Resolution,"[300, 150]",200,32,0.0001,0.0113547238743625,0.0122966293291139,0.0115730091510419,0.0299145299145299,0.0299145299145299,0.0299145299145299,0.0299145299145299
Random,Round 5,Reference Resolution,"[300, 150]",200,32,0.0001,0.0099614708412823,0.0102752241912995,0.0092727874993019,0.0266343825665859,0.0266343825665859,0.0266343825665859,0.0266343825665859
Random,Round 6,Reference Resolution,"[300, 150]",200,32,0.0001,0.0184937611408199,0.0072344322344322,0.0087048306261387,0.029585798816568,0.029585798816568,0.029585798816568,0.029585798816568
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",200,32,0.0001,0.0874954919495012,0.0860154525190022,0.0777709337716418,0.1227457824316463,0.1227457824316463,0.1227457824316463,0.1227457824316463
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",200,32,0.0001,0.0917859153226438,0.096058254693724,0.0879359150831993,0.144177449168207,0.144177449168207,0.144177449168207,0.144177449168207
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",200,32,0.0001,0.1237129169849758,0.12432923226256,0.1174124837204519,0.1750405186385737,0.1750405186385737,0.1750405186385737,0.1750405186385737
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",200,32,0.0001,0.1632647956434333,0.1625871445889005,0.1439423206394783,0.2179487179487179,0.2179487179487179,0.2179487179487179,0.2179487179487179
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",200,32,0.0001,0.1523483112325202,0.1644486172511727,0.1448536502887329,0.2421307506053268,0.2421307506053268,0.2421307506053268,0.2421307506053268
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",200,32,0.0001,0.1456461066926183,0.1316153963881236,0.1262120293662836,0.2159763313609467,0.2159763313609467,0.2159763313609467,0.2159763313609467
Multimodal,Round 1,Reference Resolution,"[300, 150]",200,32,0.0001,0.1013242939098406,0.0944586971666179,0.0891639750388133,0.1349621873182082,0.1349621873182082,0.1349621873182082,0.1349621873182082
